# [1]Indel length	[2]Count
-60	4
-58	1
-39	1
-24	1
-17	1
-13	1
-11	3
-10	2
-9	1
-8	2
-7	1
-6	3
-5	4
-4	9
-3	19
-2	33
-1	43
1	37
2	37
3	29
4	21
5	10
6	12
7	10
8	3
9	2
10	1
11	4
12	1
13	2
15	1
16	1
17	2
21	1
33	3
52	1
53	1
56	1
60	32
