#Rank	Path	LengthInKmers	Flows
0	1668000000	174	2
0	1670000000	173	2
0	1672000000	192	3
0	1677000000	170	2
0	1683000000	168	2
0	1685000000	167	2
0	1692000000	166	2
0	1698000000	163	2
0	1701000000	161	2
0	1703000000	160	2
0	1704000000	159	2
0	1705000000	158	2
0	1712000000	153	2
0	1715000000	152	2
0	1718000000	149	2
0	1722000000	146	2
0	1723000000	146	2
0	1729000000	151	3
0	1731000000	141	2
0	1738000000	139	2
0	1740000000	137	2
0	1745000000	135	2
0	1747000000	134	2
0	1748000000	134	2
0	1753000000	303	3
0	1756000000	130	2
0	1757000000	130	2
0	1760000000	171	3
0	1762000000	234	3
0	1763000000	285	3
0	1776000000	123	2
0	1782000000	121	2
0	1784000000	121	2
0	1785000000	546	4
0	1786000000	121	2
0	1791000000	263	3
0	1792000000	118	2
0	1794000000	2099	3
0	1796000000	242	3
0	1801000000	113	2
0	1803000000	112	2
0	1804000000	112	2
0	1805000000	117	3
0	1808000000	248	3
0	1810000000	247	3
0	1811000000	108	2
0	1813000000	249	3
0	1819000000	138	3
0	1821000000	104	2
0	1822000000	104	2
0	1823000000	210	3
0	1825000000	104	2
0	1840000000	98	2
0	1847000000	214	3
0	1858000000	250	3
0	1864000000	90	2
0	1877000000	86	2
0	1878000000	86	2
0	1879000000	86	2
0	1883000000	85	2
0	1889000000	83	2
0	1893000000	81	2
